Song Number,Song Name,Singer,Lyrics,Lyrics Status,Writer,Composer,Category,Image Name,Year,Recording Status,SoundCloud Link
97,بنسية عقلي,خالد سعيد,,الكلمات غير موجودة,محمود السوكني,كاظم نديم,طرب ليبي,KhaledSaeed.jpg,غير معروف,لا يوجد,
98,يا اله الكون يا نبع العطايا,خالد سعيد,,الكلمات غير موجودة,مسعود القبلاوي,علي ماهر,ابتهالات,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/tXeMi
99,امل الجماهير الوحدة,خالد سعيد,,الكلمات غير موجودة,مسعود القبلاوي ,علي ماهر,وطنيات,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/YjjQb
100,انا نسيتهم يا عين كيف ما نسوني,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,الصوت خافت,
101,اولادنا يا اولادنا,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/wrqgQ
102,بعد اليأس جاني ريدي,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/VtL1b
103,بين البيضة والسمراء,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/szvC4
104,بيناتكم يا ساكنين الحارة,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,لا يوجد,
105,تصميم الثورة,خالد سعيد,,الكلمات غير موجودة,,,وطنيات,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/UBKb8
106,حبيبتي,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,رديء,
107,حرّكي أوتار قلبي,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/zHD3Y
108,رامينا بنار غلاك,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/3ocqm
109,رمضان نفرح بيك,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,لا يوجد,
110,ريدي حن,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/mZcTw
111,سلم علي,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/w8ifZ
112,صدفة تلاقينا,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/x96WA
113,صباح الخير يا عبد الله,خالد سعيد,,الكلمات غير موجودة,,,ابتهالات,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/iLXvv
114,طلوع الشمس,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/wA5rx
115,غالي يا غالي,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/SPEuE
116,في الميدان,خالد سعيد,,الكلمات غير موجودة,,,وطنيات,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/2R3ri
117,كيف تقسى عليا,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/HBCx8
118,قالت على الراس والعين,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/g49sf
119,لا تقولي,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,رديء,
120,نفرح بيك يا شهر العبادة,خالد سعيد,,الكلمات غير موجودة,,,ابتهالات,KhaledSaeed.jpg,غير معروف,لا يوجد,
121,هام قلبي,خالد سعيد,,الكلمات غير موجودة,,,طرب ليبي,KhaledSaeed.jpg,غير معروف,جيد,https://on.soundcloud.com/721vK
122,ما حيراش القلب سحر جفونك,راسم فخري,"ما حبراش القلب سحر جفونك :: اللي حيره معنى كلام عيونك
مشغول فكري بيهم :: كلمات شوق فخاطرك قلتيهم
في خزرتك حسيت بمعانيهم :: بالعين جاوبتك تورد لونك
ما حيراش القلب :: سحر جفونك
جاوبت وتغيرتي :: عالشوق كلمتك لواه احترتي
بالعين يا ريدى منين خزرتى :: بحر الهوى فوسطه رمانى عونك
ماحيراش القلب :: سحر جفونك
اه هواك شقانى :: محتار في بحر الغرام رمانى
وقداش في بؤر العيون معانى :: حتى قدرتي بيه يبان مكنونك
ماحيراش القلب :: سحر جفونك",مكتوبة كاملة,,حسن عريبي,طرب ليبي,RasemFakhree.jpg,غير معروف,جيد,https://on.soundcloud.com/5y1ZA
123,يا سواني الحنة,سلام قدري, أسهر ليالي و بالي مشغول,مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,SalamKadree.jpg,غير معروف,موسيقا فقط,https://on.soundcloud.com/8h6f7
124,أغضبي ما شئتي,سلام قدري,"
اغضبي ما شئتي و شاء الغضب ** ليس دا عندي مثيرا للعجب
واكرهي فالكره من جدابة ** ربما حرك في قلبي الطرب
واشعلي النار ففي احشائها ** لن اكون مثل ما كنت الحطب
والجمي الافواه كي لا تسمعي ** اي معني من معاني اي حب
و اقتلي الازهار اد انفاسها ** من معاني صاغها قلب لقلب
انت لي حلم جميل ربما ** كان حلما مفزعا ثم غرب
انت لي شيطان شعر ناعم ** كان كربا و انجلت عني الكرب
اسأل قلبك في اعماقه ** اي يوم كان للحب انجدب
اين منك الحب في الهامه ** اين منك العشق في اعلى الرتب
اين منك الحب في اماله ** هل شعرت انه في القلب دب
ليس لي قلب لحب ساخط ** لدا يا للا أثرت الهرب
",مكتوبة كاملة,,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/uKqFp
125,العين يا ليل كيف ماتراها,سلام قدري,"
العين يا ليل كيف ما تراها ::
ما اطول شقاها
من يوم وافى مناها :: عز الغوالي ::
والنوم من بعدها ما لافالي",الكلمات غير مكتملة,على الرقيعي,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/pDRMW
126,بعيني ريت واضح في الميامي,سلام قدري,"
بعيني ريت واضح في الميامي 
كلام عجيب اوضح من كلامي
",مطلع الأغنية/رأس البيت فقط,أحمد الحريري,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/oqHzM
127,تولعت بيك,سلام قدري,"
تولعت بيك زي الفتيلة :: وما فيش ليلة ::
شوقك هدا عندي يا خليلة
",مطلع الأغنية/رأس البيت فقط,علي السني, سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/Vc15x
128,أنشودة العمال,سلام قدري,"
رسموا العمال في وجهه الصبح غناويهم
زرعوا موال اخضر في مكان خطاويهم
ضحكوا في وجهك يا دنيا بالبهجة ديمة وديهم

***

يا صبح تبسم في وجهه الانسان الحر
انسان الخير اللي قلبه بالحب كبر
افرش في طريقه غناية حول تضحيته لحكاية
و احفظها لاجيال جديدة لطريق الخير تهديهم

***

يا شمس توصي و العامل ما تقسي عليه
كونيله رفيقه في حهاده يدبل تحييه
يوماتي يستنى ضيك ويبكر في طلوعه زيك 
صناع البسمة و الفرحة بالبهجة ديمه وديهم
",مكتوبة كاملة,أحمد الحريري,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/Dftja
129,طويت الامل,سلام قدري,"
طويت الامل و نسيت فرحي معاك ** وسديت باب الشوق من يالاك
وعديت عمري ضاع مستنيك ** والصبر دوبته في نار هواك
ومني خديت كل ما يرضيك ** ويا ريت فيه علاش نستناك
",مكتوبة كاملة,مسعود القبلاوي, سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,لا بأس,https://on.soundcloud.com/QmVZ7
130,انتي عفيفة ومشيتك غزلاني,سلام قدري,"
كيف القمر تحت اللحاف تبانى
من عفتك حبيتك على قد ما بان القمر ناجيتك 
نقاسي عذاب الحب ماللي ريتك 
حنى على رانى حبيب دانى 
****
انتى عفيفة ومشيتك غزلانى 
تحت اللحاف تنور سبحان من سوى بهاك وصور 
حجبوك عنى وصرت غير ندور 
ما لقيت من جاب الخبر الهانى 
انتى عفيفة ومشيتك غزلانى 
رسمتك في قلبى وروحى 
****
كيف تمتحى وانتى سبب جروحى 
على فراقهم يا عين ابكى ونوحى 
مع الصبر نور العين ترجع تانى 
انتى عفيفة ومشيتك غزلاني",مكتوبة كاملة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/kDR7L
131,جرت السواقي,سلام قدري,"
وهب الهواء يغنى على رقصاته
جرت السواقى ليه
****
التفاح ورى خدودة
ونحى غطى الرمان بانو نهودة
ونحى العنب ورقة على عنقودة
وجادت النخلة بالرطب ورماته
****
زينات جت بتملى
على الخوخ والمشماش شنت حملة
تبسم الورد وضحك من هالعملة
جاته صباع مخضبة قطفاته
والطير عالأغصان غنى ألحانة
****
حوم الطير وغنى
تربع على عرشة ورى فنة
إلتموا ولافة فى الهوى وتهنى
طربوا معاه وشاركوا فرحاته
",مكتوبة كاملة,الطاهر شقليلة,شعبى قديم,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/2665M
132,اكما يقال نسيتنا,سلام قدري,"اكما يقال نسيتنا يا مورث القلب الضنى
و نسيت انك لم تزل رغم الفراق حبيبنا
***
انسيت عهدا للهوى و نسيت ما علمتنا
يا قيد قلب يأس دوب الحديد اذبتنا
***
ان كان حبك غاليا فلقد بدلنا حبنا
وان كان قولا في الهوى ان تستجيب ندأنا
***
فلقد هجرتم وسعكم و لقد وصلنا وسعنا
صرنا نعلل هجركم حسن الظنون رفيقنا
***
فادا الفراق مرادكم و ادا الوصال مرادنا
يا قيد قلب يأس دوب الحديد اذبتنا
***
اكما يقال نسيتنا يا مورث القلب الضنى
و نسيت انك لم تزل رغم الفراق حبيبنا
",مكتوبة كاملة,ابن الطيب, سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/N6ARB
133,شال الدليل وعدى,سلام قدري,"الغالى رحل شال الدليل وعدى
كبير فاهقه ياناس بيش نصدى
",مطلع الأغنية/رأس البيت فقط,بنت الوطن ,موروث تراث,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/irZTv
134,اللي حبيته,سلام قدري,"اللي حبيته ما نصفني في حبي
وهدالي الصبر يطمني قلبي
لقيت الصبر دواء للحب
ما ينسي القلب اللي يحب
جربته وزادني على غلبي",وجب التأكد من اكتمال الكلمات,كاظم نديم,كاظم نديم,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/SjF2H
135,اليوم يا قمر,سلام قدري,"اليوم يا قمر وين لحباب وويني
غابوا بعيد وادرقوا عن عيني
***
ان كانك شايفهم
دلي حبالك و النبي واخطفهم
وبعدين عندي جيبهم واحدفهم
***
يا قمر يا عالي
ما عليك في الاوطان يخفى والي
سلم عليهم كان شغلك حالي
و شايف بعينك حرقتي و حنيني
***
ايش غير الهاهم
اللي ما قدر عقلي نهار ينساهم
ان كانوا علي عهدي انا نرجاهم
نرجى حياة الروح لين اجيني
",مكتوبة كاملة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/6E66B
136,أنا عشقت الزين,سلام قدري,"انا عشقت الزين وعمري ما ننساه **
عشرة يومين يومين خلتني نهواه
",مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/Gt7Gd
137,انشد يا سيد الحلوين,سلام قدري,"انشد يا سيدي الحلوين واشغل فكرك مرة بينا
رانا لزولك مشتاقين وانت من بالك ناسينا
انت اللي بالحب بديت ومن اليوم نسيته من بالك
فكر مرة فيها بكيت وكان الشوق مغير حالك",وجب التأكد من اكتمال الكلمات,مسعود القبلاوي,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,
138,آه يا ميمه,سلام قدري,"اه يا ميمه راميني عليك المكتوب
اه يا ميمه مش قادر نكتم لا نقول
كانك ترضيلي عدابك قوليلي
ما تخليني حداك ندوب",وجب التأكد من اكتمال الكلمات,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/SPXQX
139,أيام كيف الورد,سلام قدري,"ايام كيف الورد دبلتيهم
بالشوق مش بالحب بدلتيهم
***
بالورد كان ايامك
وكان عطرهم في نظرتك و كلامك
وكان زهوهم في ضحتك و سلامك
كلمات للعشاق علمتيهم
***
ايام عشنا فيهم
يا نكلمك يا تكلميني عليهم
كان الصفاء منك يناجي فيها
ضحكات كيف النغم لحنتيهم
***
زعمه الكل نسيتي
والايام حتى خيالهم ما ريتي
لا بحب مشغوله و لا حبيتي
كدبات حلوة كان الفتيهم
",مكتوبة كاملة,ابن الطاهر,محمد الموجي,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/8MULV
140,بناويت ظهروا,سلام قدري,"بناويت ظهروا للدراس يلاقوا
غزالات حنوا لبعضهم و تلاقوا
",الكلمات غير مكتملة,ابن الطاهر,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/daARd
141,بنماريك خديت فيا,سلام قدري,"بنماريك خديت فيا 
ما قدرتش نفعل لا نتوب
وريني بنعلم قلبي
وريني وين تعلمت الاسلوب
",وجب التأكد من اكتمال الكلمات,أحمد الحريري, سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/JG4Ts
142,مشي ياريدي تتفكري ماضي,سلام قدري,"تتفكري ماضى مشى يا ريدي ::
لحن الهوى غنيه ليا وعيدي
",مطلع الأغنية/رأس البيت فقط,أحمد الحريري, سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/pDdhP
143,تمشي بعيد,سلام قدري,"تمشي بعيد ويجيبك خيالي ::
في الوجدان حبك يالغالي
",مطلع الأغنية/رأس البيت فقط,أحمد الحريري, سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/GcKsY
144,سمح الملامح,سلام قدري,"سمح الملامح لو غاب عنك يوم
يا قلبي سامح عن غيبته ما تلوم
لا تجرحه تشقينا 
لا تحيره تخلي الدموع في عينيه
كثر الملام يا قلبي بيني بينه 
يزيد حيرته و انت تعيش محروم
***
عطفك عليه
لو زل مره معاك
والا عليك بخل ببسمة حليوة 
والا نسي ما طل
صون غلاه واخلص في حبك دوم
***
سمح الميامي ارعاه
بمحنتك في دنيتك تلقاه
في القب صاين عهد ما ينساه
ولا يطيق بعده عليك حتى يوم",مكتوبة كاملة,,,طرب ليبي,SalamKadree.jpg,غير معروف,لا يوجد,
145,مكتوب ولا قرب,سلام قدري,"سوى باعدك مكتوب و الا قرب
واخد على سوق الرحيل مغرب
",مطلع الأغنية/رأس البيت فقط,أحمد الحريري, سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/FFnwb
146,سيد الشهور رمضان,سلام قدري,"سيد الشهور رمضان هل علينا
يا ربي بارك واسعد ليالينا
",مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,SalamKadree.jpg,غير معروف,رديء,
147,طاير خليك,سلام قدري,"طاير خليك على جناحك طاير خليك 
حرام عليك اداري يا قلبي غواليك
",مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/cYqbV
148,طقيت باب قلوبكم,سلام قدري,"طقيت باب قلوبكم ** وقفت لين عييت
ولما لقيته دوبكم ** كل الفرح و ليت
",مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/76aQd
149,عاهدتيني منين بحتلك بالسر,سلام قدري,"عاهدتيني.. منين بحتلك بالسر.. عاندتيني
غير جربي معنى الندم ياعيني
",مطلع الأغنية/رأس البيت فقط,أحمد الحريري, سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/YFrLb
150,عرجون فل,سلام قدري,"عرجون فل منــين فاح خداني
خطر عليا عمــــــرنا الـحقاني
****
خطر عليا زينك يا عـــــــيني
وليل صابغ وســط نني عينك
خطر عليا هــلال فوق جبينك
ورموش قيل تحتهـــم وجداني
****
عرجون فل عشـــــــــــــــــيه
شميت فيه ايام حلوة هــــــنية
منين كان بدلة مزينه المنشيه
بيني و بينك كان ليه مــعاني
****
وين نهديهولك ياعيـــــــــــني
عرجون يحمل شوق نبعتهولك
بالسر يجمع بين قولــي وقولك
بالسر يحكيلك علي الوحــداني
****
عرجون فل منين فاح خـداني
خطر عليا عمرنا الحــــــقاني
",مكتوبة كاملة,أحمد الحريري, سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/koXLT
151,ماتقدريش تسافري,سلام قدري,"ما تقدريش تسافري ابعد من لهفتي
ما تقدريش تهاجري من عالم كلمتي
حتى جواز السفر في شنطة ايديك
مختوم بشعري اللي كتبته عليك
ما تقدريش تسافري ابعد من لهفتي
***
تاشيرتك موال عذري فيه شوقي و حيرتي
موال فيه لقيت عمري و فيه حبي و غيرتي
ما تقدريش تعقبي بعدك اماني بدعتها
انت هناء في خاطري غابة اغاني زرعتها
ما تعانديش و خاطري مشغول بيك
ما تعانديش و خاطري مشدود ليك
***
حتى جواز السفر في شنطة ايديك
مختوم بشعري اللي كتبته عليك
ما تقدريش تسافري ابعد من لهفتي
***
فتحت في عيونك مداين تاه فيها خاطري
و درت من شعرك جناين قاعده في دفاتري
و مهما بعيد تسافري ما تشبحيش مثيلها
و لا تسمعي زي ما سمعتي الفن في مواوييلها
ما تحاوليش و سرها موجود فيك
ما تحاوليش و سرها موجود فيك
***
حتى جواز السفر في شنطة ايديك
مختوم بشعري اللي كتبته عليك
ما تقدريش تسافري ابعد من لهفتي",مكتوبة كاملة,أحمد الحريري, سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/PZgqf
152,نسهر لقيت الليل,سلام قدري,نسهر لقيت الليل قالق مني,مطلع الأغنية/رأس البيت فقط,أحمد الحريري, سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/QiNhZ
153,هاتي زيدي اسقيني المر,سلام قدري,"هاتي زيدي اسقيني المر
كان به قلبك ينسر
",مطلع الأغنية/رأس البيت فقط,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/5gTGc
154,اللي مشقيني بيك,سلام قدري,,الكلمات غير موجودة,أحمد الحريري,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,موسيقا فقط,https://on.soundcloud.com/MgJ5K
155,ترا سامحيني,سلام قدري,,الكلمات غير موجودة,أحمد الحريري, سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/QVHg3
156,تنشد عليا وشاغلك موالي,سلام قدري,,الكلمات غير موجودة,أحمد الحريري, سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/JTb4E
157,حبك طير اخضر,سلام قدري,,الكلمات غير موجودة,أحمد الحريري, سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/btnyQ
158,حتى جفيتي,سلام قدري,,الكلمات غير موجودة,أحمد الحريري, سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/WhMCJ
159,سافر مازال عيني تريده,سلام قدري,,الكلمات غير موجودة,عبدالحميد الشاعري ,كاظم نديم,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/1KyFW
160,حدثيني عبر سلك التليفون,سلام قدري,,الكلمات غير موجودة,علي الحاراتي,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/qMRm9
161,أنا لولا أنتِ ,سلام قدري,,الكلمات غير موجودة,محمود السوكني,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,لا يوجد,
162,أسهر ليالي وبالي مشغول,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/ueYhY
163,الدموع أنسيهم يا عين,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/GrqTD
164,النخل والديس,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/fh1J3
165,إن شاءالله,سلام قدري,,الكلمات غير موجودة,,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,موسيقا فقط,https://on.soundcloud.com/28S4n
166,أنا وأنت ياليل إثنين,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/bCzuE
167,أنسي الماضي و فكري في بكرة,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/fSfL9
168,بعد ولفتى,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,
169,بعدت عني,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/2F76A
170,بعيني ريت,سلام قدري,,الكلمات غير موجودة,,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,موسيقا فقط,
171,تلقي في صدري أحلى معاني,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,لا يوجد,
172,ثورة جيل,سلام قدري,,الكلمات غير موجودة,,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,موسيقا فقط,
173,حبيت لون الورد ماتلوموني,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/6uH5b
174,حبيت ماقدرتش نبين حبي,سلام قدري,,الكلمات غير موجودة,,كاظم نديم,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/Wc7yL
175,رجعتلي أيامه الماضي عاد,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/NUvqH
176,سحابة صيف,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/HZU5C
177,شاغلك موالي,سلام قدري,,الكلمات غير موجودة,,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,موسيقا فقط,https://on.soundcloud.com/HtVwz
178,صنعوها الابطال الثورة,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,1969,جيد,https://on.soundcloud.com/T8Kqz
179,عشقناه حبيناه,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/B38vD
180,علاش ما رديتي,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,موسيقا فقط,https://on.soundcloud.com/f1pvZ
181,كانك زعلان,سلام قدري,,الكلمات غير موجودة,,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,موسيقا فقط,https://on.soundcloud.com/CNeuP
182,لو جاب رجلك تاني,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,لا يوجد,
183,ما نوم جاء لعيني,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/YjRhD
184,مسحتك من الخاطر,سلام قدري,,الكلمات غير موجودة,,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,موسيقا فقط,https://on.soundcloud.com/RypQw
185,مش قنالك فيها خيرة,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/gJmEb
186,من غير ما نعرف,سلام قدري,,الكلمات غير موجودة,,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,موسيقا فقط,https://on.soundcloud.com/Htu7g
187,نجوم الفجرية,سلام قدري,,الكلمات غير موجودة,,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,موسيقا فقط,https://on.soundcloud.com/zpbEs
188,نخاف من العشم,سلام قدري,,الكلمات غير موجودة,,سلام قدري,طرب ليبي,SalamKadree.jpg,غير معروف,موسيقا فقط,https://on.soundcloud.com/LE5AS
189,لو تؤمريني فوق نسمة انطير,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/cqhVA
190,منديلها الوردي,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/n7yQa
191,نداك قلبي,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,لا يوجد,
192,ورسمت بسماتك,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,موسيقا فقط,https://on.soundcloud.com/3ZXXj
193,هبي مع العشية,سلام قدري,,الكلمات غير موجودة,عثمان الوزرب,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/TwyxE
194,وعيوني سهارى,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/tBHtS
195,بعد ولفتي,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/HRMpF
196,يا رانية,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,لا يوجد,
197,يا غالية على بوك,سلام قدري,,الكلمات غير موجودة,,,طرب ليبي,SalamKadree.jpg,غير معروف,جيد,https://on.soundcloud.com/KTFmU
198,أنت بنت زينة,سيد بومدين (شادي الجبل),"الراجل شين وانت بنت زينة - يحول الله ما بينك وبينه
 وإنت بنت خيره - م العيبات ما فيكش بصيره
 خساره فيه تبقى له ذخيره - صيتك كيف باشات المدينه
 
 وإنت بنت عيله - خيره ناس ما نك شيئ و ذيله
 موش قداه تبقى له عزيله - كارك زول يبري م الغبينه
 
 و إنت بنت ناس - للعفنين ما نك شي مداس
 الراجل شين نقاره و فلاس - خساره فيه يا ضاوي جبينه",مكتوبة كاملة,,,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/fhNYf
199,أنت جافية,سيد بومدين (شادي الجبل),"انت جافيه ولا غلا ما تبي - تراه قولي و النبي حسيبك ربي
 
 يا طول ما حبيت - ويا طول ما جنبي دموع بكيت
 ايش السبب كنك اليوم نسيتي - بعد قولتك انت دواي و طبي
 
 يا طول ما قلتيلي - انت ربيع العين خليلي
 وانت اللي تايه وراك دليلي - ومش عيبي تنسيني و تهوني حبي
 
 مش عيب يا مشكايا - تنسي سريبي و تتركي مدعاية
 بعد قولتك انت حدود منايه - اليوم تنقصي في القول و تجفي قربي",مكتوبة كاملة,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/wXdYc
